MAHS,Toan,Van,NgoaiNgu
53013126,7,6.75,3.8
53004443,8.2,7.25,4.8
53007165,9,7.75,6
53002786,7.8,6.75,4
53001531,8.2,7.5,6.6
53013687,8.8,6.75,5.8
53009854,8.2,7.5,8.4
53005087,6.6,7,3.4
53011289,7,7.5,4
53013051,4.4,6.75,2.6
53011411,4.6,7.75,4
53006797,3.6,6.5,2.8
53003964,6,6.25,2.6
53001171,7.8,6.75,6
53014233,7,7.25,3.8
53004698,7.4,7.5,3.2
53004564,8,8,5.2
53011891,5,6.25,2.8
53000424,8.6,8.75,5.8
53008299,7.2,7.25,3.8
53012710,8.4,8.25,5
53013830,7.2,7.25,4.6
53008079,7.4,6,5.4
53006011,8.2,7,4.6
53010829,5.4,5.5,3.8
53009960,8.6,7,5
53001631,7.6,7.25,4.4
53006426,9.2,6.5,7.6
53010717,5.4,6.25,3.6
53009821,6.8,7.25,5.4
53002033,9,7.75,6.4
53004856,9.4,6.25,8.2
53013278,6.8,7,4
53008181,6.6,6.25,4.2
53000201,8.6,6.75,6.2
53003489,6,6.5,5
53007236,9.4,7.25,6.6
53000394,7,7,6.2
53002551,5.2,6.5,3.4
53004030,6.4,7.25,5.4
53010187,8.8,7.75,5
53008096,7.8,6.5,5.8
53009461,4.6,7.25,4.4
53006239,8.4,8,5.2
53006744,4.2,6,2.8
53002683,5.6,6.5,4.6
53002132,8.6,7.25,2.4
53011056,6.6,6,2.8
53003156,8.4,7.25,4.6
53010639,5.6,6.25,2.2
53008197,7,6,4.8
53006225,7,7.25,2.6
53000331,9,6.5,4.8
53005461,6.4,6.75,5.2
53011102,7.6,7,4.6
53003015,7.4,6.5,3.4
53003731,8.2,7.5,4.2
53005383,8.4,6.5,6
53012034,8.6,7.75,6.2
53000643,4.8,6.5,3.2
53002505,6.2,6.75,4
53000526,6.6,7.5,5.8
53005683,7.6,7,5.6
53013289,7.2,7.5,5.8
53009663,8,7.25,5
53004516,6.8,6.75,4.2
53003801,7.6,6.75,2.8
53001502,7,8,4.6
53000639,7.8,7.5,4.2
53006884,8.2,5.5,1.4
53007037,8,8.25,8
53000583,8.4,6.25,7.4
53003697,6,6.5,1.8
53008745,6.8,6.5,4.4
53003450,8.4,5.25,6.2
53011194,5.2,4.75,2.2
53009591,6.2,7.5,4.2
53001389,7.8,6.75,3.8
53012670,7.8,7.25,2.8
53009431,7.4,7.25,4
53003972,8,7,6.6
53002408,6,7.5,5
53000423,7.6,7.75,4.2
53012935,7.2,6,4.2
53004286,6.4,6.25,2.6
53014248,9,7,7.2
53001534,8.6,7.5,5.8
53004943,7.6,6.75,4
53012626,6.8,8.5,8.2
53002329,6.8,6,4.2
53011255,8.2,6.5,3.6
53005893,7.8,7.5,5.4
53005471,5.8,7,2.8
53001354,7.2,5.75,3.6
53010974,7.2,5.5,4.8
53014048,6.2,4.75,4.6
53007327,8,7.75,6
53009179,7.4,5.25,3.6
53009595,3.8,7.5,3.6
53003747,7.8,6,4
53004929,7.6,5.25,5
53007572,7.4,8,8.4
53003655,8,5.25,5
53000024,9.4,8.25,8.2
53005720,8.4,7,5.8
53000171,5.6,6,5.2
53014055,5.4,6.5,3.4
53001102,6,6.5,4.2
53012822,7.8,6.5,4
53001015,8.2,7.75,4.8
53008780,8.8,6.92,6.2
53009507,7.8,6.75,6
53012986,6.8,6.5,5.4
53007178,9.6,8,8.2
53002466,7.4,5.75,4.2
53002871,7.2,6.75,4.2
53003922,7,7,2
53010954,6.6,6.25,3.2
53010757,7,6.75,3.6
53008986,9,5,6.8
53003338,8.6,8.5,5
53000875,5.8,6.5,3.2
53010124,2.8,4.75,3.8
53005849,9.2,7.75,6.2
53010661,7.2,6.5,3.4
53009766,9.4,8.5,7.4
53010115,8.4,7.75,7
53009932,8.2,7.25,6.4
53007766,9,7,5
53006552,5.8,6.75,4.2
53000620,6.4,6.75,4.8
53005970,7.8,6.75,4.8
53005387,8.2,7,5.6
53002981,5.6,7.75,4.8
53009358,7,6.75,4.2
53001699,8.6,7.5,6.6
53013493,8.2,7.25,5.8
53011204,8.8,8.5,8.8
53012675,9.4,6.5,5.6
53009608,8.4,7.92,4.6
53010350,6.2,6,3
53010066,8.2,8.5,6.8
53005770,7.2,7.5,4.6
53013949,8,7,4.6
53009699,8.4,7.5,6
53000542,9,6,5.6
53005443,6.2,6,3.8
53013888,7,5.25,5.8
53013494,6.4,6.75,2.8
53007673,8.4,8.25,8.4
53005380,7.8,8,5.2
53011325,5.2,5.75,3.6
53004054,5.8,6.5,5
53000296,6.8,6,4.2
53001018,4.4,6,3.2
53014038,7.4,6.25,5
53010555,5.8,5.5,5.2
53012266,8.2,8,8
53012255,8.6,6.75,7
53005684,6.6,8,3.4
53004674,8,5.5,4
53010351,8.6,7.5,5
53006730,5.8,7,3.2
53013376,8.2,6.5,3
53004479,8.2,6.75,2.2
53013019,4.8,6.5,4.4
53011104,5.4,6,3.6
53013721,8.4,7.5,5
53011155,8.6,7,5.4
53012680,8,6.5,5.4
53010742,5.2,6,2.4
53001873,8.4,7,8.4
53003161,8.6,8.75,6
53011865,9,7.25,4.8
53000931,7.2,7.25,3.2
53004923,8.6,6.75,8
53013599,5,5,2.6
53000372,7.8,7.5,5.2
53010755,5.6,6.25,2.8
53004613,8.2,6.25,3.8
53014004,6.2,7,3.8
53004802,8.2,7,3
53011571,7.2,7.75,3.4
53006877,8.2,5.75,2.4
53011936,6.8,7,3.8
53013165,8,8,6.6
53008244,7,7.5,4.8
53009873,4.4,4.75,2.4
53010575,3.6,6.5,4.2
53009323,7.4,6.5,7.2
53002760,6.2,7,3.6
53012269,5.8,6.5,3.8
53010427,8,7.25,4.8
53001094,8,7.25,3.6
53005309,8.2,7.5,5.4
53005590,4.8,5.5,3.2
53005423,6.2,6.25,2.4
53002105,7.8,7.5,6.2
53005887,7.4,5.5,2.4
53003605,8.6,8.25,6
53008360,5.8,6.25,5.6
53011871,5.6,6.5,3
53007518,8.6,7.5,4.4
53005033,6.8,6.5,4.2
53012511,8.2,7,3.6
53009352,6.8,5.75,4.4
53004264,7.4,6.5,3
53012175,5.4,6.5,4.4
53001817,8.4,7.75,6.2
53008924,9.4,6.75,5.6
53007111,7.4,7.75,6
53006857,3.4,4,3.4
53004877,8,4.5,4.2
53004891,5.6,6.25,4
53006847,6,5.75,2.8
53000804,6.4,6,4.4
53009918,5.8,6.25,3
53005578,5.8,7,4
53003502,6.8,8.25,4.4
53009877,7.8,7.75,4.2
53013738,7.4,8,4
53012728,7,6.5,4.8
53001624,8.4,6.75,6.4
53008750,5.2,5.5,3
53006584,7,6.75,7
53006800,5.4,5,2.8
53014106,8.8,7.25,2.8
53011139,5.6,6.75,3.2
53000079,7.4,8.75,5.4
53012798,9.2,9,7.8
53001835,6,8.75,4.8
53003686,6.8,6.25,3.8
53008944,9.2,5.25,9.2
53005792,6.4,6,4
53006407,8,6.5,3.8
53005241,5.8,6.5,2.6
53004376,7.8,6.5,4.4
53006339,8.6,7.5,5.4
53011197,7.2,8.25,4.6
53001857,7.6,7.75,5
53007812,8,6.25,5
53012965,8,6,7.4
53012145,7.6,7.75,4.8
53000705,8.4,6.75,5.2
53013710,7.6,7.5,4.4
53005354,7.6,6.25,4
53011890,6,6.75,4.8
53009758,9,7.25,5.6
53006807,5.8,5,3.8
53009457,8,7.5,7.6
53005039,7.2,6.75,4.2
53001332,8.6,7.75,5.6
53011071,7.8,8,6.2
53000253,7.6,6.25,2.4
53003799,5.2,5.5,3.2
53001214,6.4,6.5,4.8
53011108,3.4,4.25,3.8
53002914,7.4,6.5,6.8
53003523,7.4,8.25,7
53009709,6,7,4.2
